Id,SalePrice
1001,43936.366369218566
1002,54490.270697791595
1003,258113.00455971994
1004,173198.3998778949
1005,209221.20397638856
1006,120213.16145551763
1007,211731.43920979253
1008,82995.24568354408
1009,233175.36116595822
1010,111933.85475028609
1011,101540.99597298144
1012,117254.43379687401
1013,149824.86501605506
1014,107039.81475816644
1015,129625.47675854713
1016,220991.54668026278
1017,224224.69032823178
1018,228895.97971472237
1019,173733.11341074225
1020,209115.24357647053
1021,146601.34246852994
1022,205713.0653249179
1023,95601.94036939228
1024,208157.97891616262
1025,324993.65376099735
1026,107965.88075854443
1027,168262.32582309959
1028,301840.00285375444
1029,114766.34790450195
1030,137179.11876252783
1031,146866.3243362254
1032,280406.85927775595
1033,311828.7405090716
1034,263212.1200607205
1035,88294.02574035944
1036,46415.74999138946
1037,303410.4327433647
1038,280961.03565892414
1039,120646.11209666613
1040,62334.465205603046
1041,181985.88271245803
1042,184879.97840498248
1043,206117.35006680945
1044,274491.533328776
1045,319392.5788580745
1046,94302.08200864051
1047,350800.8157934281
1048,151661.19306496484
1049,157110.25279701594
1050,72198.1743730004
1051,185877.3085200237
1052,195901.6146434995
1053,210949.2911425894
1054,171068.67667388404
1055,268560.8324102361
1056,189984.54694478796
1057,220462.81651589158
1058,219228.69805676
1059,321438.2339828464
1060,185761.08411258808
1061,222732.51587393018
1062,100400.40853921697
1063,156515.10640828125
1064,148216.77355030645
1065,153921.97511720564
1066,255215.61148100137
1067,167608.3843850752
1068,174776.22764386656
1069,238294.50634712563
1070,120928.06802755524
1071,113049.17764787539
1072,159167.51185946818
1073,117270.16847416549
1074,160817.56876580906
1075,201561.49879796477
1076,189668.7762274081
1077,157183.71696428675
1078,110931.28687025001
1079,159333.9009192069
1080,124844.52705182438
1081,177278.3641617347
1082,117342.30528893485
1083,209941.4433332067
1084,183018.82494457997
1085,174331.43457312044
1086,162412.84181260108
1087,86095.5254530115
1088,275867.12658032565
1089,194170.7791952314
1090,235710.82500991365
1091,39867.646462644916
1092,173322.4813044211
1093,172513.2575334455
1094,172068.47167153703
1095,109086.15358974156
1096,178343.01841083355
1097,140253.84998943843
1098,179746.08724226803
1099,88679.9250500917
1100,216468.95274451072
1101,-13404.786648461595
1102,105414.2304243194
1103,132758.91658769315
1104,154810.14992915234
1105,119081.41228804737
1106,328963.88475709106
1107,213827.68171626655
1108,221269.3628657509
1109,184296.4404417358
1110,299206.3708152373
1111,181737.39468329772
1112,226432.2681664545
1113,95434.82115244376
1114,126121.37432643934
1115,105902.47573133698
1116,303172.8480713831
1117,207237.87102575484
1118,132252.38502332824
1119,124826.03966062726
1120,106617.10084885405
1121,113035.7916990195
1122,231679.73592360108
1123,65501.40559754288
1124,93639.55313527328
1125,176277.32286940818
1126,105547.20196350128
1127,229347.22578561632
1128,252606.20190704288
1129,215175.71187797352
1130,146440.7864114698
1131,161927.47611577832
1132,122370.2330570207
1133,143875.39779521548
1134,251052.7623631265
1135,178028.68278342648
1136,102776.59314790322
1137,125906.00653208164
1138,95785.11126434221
1139,232067.3527688929
1140,127439.80848136288
1141,131937.10537919356
1142,173581.27759612282
1143,358139.10575353936
1144,106297.28699880675
1145,64059.141713244375
1146,123716.84275506018
1147,188787.45667774347
1148,156004.46075647022
